Rank,Country,Happiness_Score,Report_Year,Data_Years
1,Finland,7.736,2025,2022-2024
2,Denmark,7.521,2025,2022-2024
3,Iceland,7.515,2025,2022-2024
4,Sweden,7.345,2025,2022-2024
5,Netherlands,7.306,2025,2022-2024
6,Costa Rica,7.274,2025,2022-2024
7,Norway,7.262,2025,2022-2024
8,Israel,7.234,2025,2022-2024
9,Luxembourg,7.122,2025,2022-2024
10,Mexico,6.979,2025,2022-2024
11,Australia,6.974,2025,2022-2024
12,New Zealand,6.952,2025,2022-2024
13,Switzerland,6.935,2025,2022-2024
14,Belgium,6.910,2025,2022-2024
15,Ireland,6.889,2025,2022-2024
16,Lithuania,6.829,2025,2022-2024
17,Austria,6.810,2025,2022-2024
18,Canada,6.803,2025,2022-2024
19,Slovenia,6.792,2025,2022-2024
20,Czechia,6.775,2025,2022-2024
21,United Arab Emirates,6.759,2025,2022-2024
22,Germany,6.753,2025,2022-2024
23,United Kingdom,6.728,2025,2022-2024
24,United States,6.724,2025,2022-2024
25,Belize,6.711,2025,2022-2024
26,Poland,6.673,2025,2022-2024
27,Taiwan,6.669,2025,2022-2024
28,Uruguay,6.661,2025,2022-2024
29,Kosovo,6.659,2025,2022-2024
30,Kuwait,6.629,2025,2022-2024
31,Serbia,6.606,2025,2022-2024
32,Saudi Arabia,6.600,2025,2022-2024
33,France,6.593,2025,2022-2024
34,Singapore,6.565,2025,2022-2024
35,Romania,6.563,2025,2022-2024
36,Brazil,6.494,2025,2022-2024
37,El Salvador,6.492,2025,2022-2024
38,Spain,6.466,2025,2022-2024
39,Estonia,6.417,2025,2022-2024
40,Italy,6.415,2025,2022-2024
41,Panama,6.407,2025,2022-2024
42,Argentina,6.397,2025,2022-2024
43,Kazakhstan,6.378,2025,2022-2024
44,Guatemala,6.362,2025,2022-2024
45,Chile,6.361,2025,2022-2024
46,Vietnam,6.352,2025,2022-2024
47,Nicaragua,6.330,2025,2022-2024
48,Malta,6.316,2025,2022-2024
49,Thailand,6.222,2025,2022-2024
50,Slovakia,6.221,2025,2022-2024
51,Latvia,6.207,2025,2022-2024
52,Oman,6.197,2025,2022-2024
53,Uzbekistan,6.193,2025,2022-2024
54,Paraguay,6.172,2025,2022-2024
55,Japan,6.147,2025,2022-2024
56,Bosnia and Herzegovina,6.136,2025,2022-2024
57,Philippines,6.107,2025,2022-2024
58,South Korea,6.038,2025,2022-2024
59,Bahrain,6.030,2025,2022-2024
60,Portugal,6.013,2025,2022-2024
61,Colombia,6.004,2025,2022-2024
62,Ecuador,5.965,2025,2022-2024
63,Honduras,5.964,2025,2022-2024
64,Malaysia,5.955,2025,2022-2024
65,Peru,5.947,2025,2022-2024
66,Russia,5.945,2025,2022-2024
67,Cyprus,5.942,2025,2022-2024
68,China,5.921,2025,2022-2024
69,Hungary,5.915,2025,2022-2024
70,Trinidad and Tobago,5.905,2025,2022-2024
71,Montenegro,5.877,2025,2022-2024
72,Croatia,5.870,2025,2022-2024
73,Jamaica,5.870,2025,2022-2024
74,Bolivia,5.868,2025,2022-2024
75,Kyrgyzstan,5.858,2025,2022-2024
76,Dominican Republic,5.846,2025,2022-2024
77,Mongolia,5.833,2025,2022-2024
78,Mauritius,5.832,2025,2022-2024
79,Libya,5.820,2025,2022-2024
80,Moldova,5.819,2025,2022-2024
81,Greece,5.776,2025,2022-2024
82,Venezuela,5.683,2025,2022-2024
83,Indonesia,5.617,2025,2022-2024
84,Algeria,5.571,2025,2022-2024
85,Bulgaria,5.554,2025,2022-2024
86,North Macedonia,5.503,2025,2022-2024
87,Armenia,5.494,2025,2022-2024
88,Hong Kong,5.491,2025,2022-2024
89,Albania,5.411,2025,2022-2024
90,Tajikistan,5.411,2025,2022-2024
91,Georgia,5.400,2025,2022-2024
92,Nepal,5.311,2025,2022-2024
93,Laos,5.301,2025,2022-2024
94,Turkey,5.262,2025,2022-2024
95,South Africa,5.213,2025,2022-2024
96,Mozambique,5.190,2025,2022-2024
